content,score,label,reviewCreatedVersion,at,appVersion,content_lower_case
"saya sudah memakai aplikasi gojek 4 tahun,alhamdulillah layanan the best",5,1,5.47.1,2026-02-03 0:57:36,5.47.1,saya sudah memakai aplikasi gojek 4 tahun alhamdulillah layanan the best
jarang ada diskon,5,1,5.48.2,2026-02-03 0:51:32,5.48.2,jarang ada diskon
"makin berat aja apk, muter mulu mau beli tiket krl",1,0,5.39.1,2026-02-03 0:37:37,5.39.1,makin berat aja apk muter mulu mau beli tiket krl
aplikasi terbaik,5,1,5.47.1,2026-02-03 0:27:07,5.47.1,aplikasi terbaik
"Di kasih limit di gopay pinjam 200rb,pengajuan pertama sukses setelah lunas di ajukan LG di tolak nunggu 1 BLN,pengajuan ke 3 di tolak lg nunggu 2 BLN utk bisa mengajukan lg.terlalu rumit nih gojek kaya limit 200jt aja.padahal sy menggunakan gojek SDH dari THN 2015.Hilang resfeck deh males.",2,0,5.48.2,2026-02-03 0:24:42,5.48.2,di kasih limit di gopay pinjam 200rb pengajuan pertama sukses setelah lunas di ajukan lg di tolak nunggu 1 bln pengajuan ke 3 di tolak lg nunggu 2 bln utk bisa mengajukan lg terlalu rumit nih gojek kaya limit 200jt aja padahal sy menggunakan gojek sdh dari thn 2015 hilang resfeck deh males
sangat bagus dan berguna untuk memakai perjalanan jarak jauh 👍,5,1,5.47.1,2026-02-03 0:14:49,5.47.1,sangat bagus dan berguna untuk memakai perjalanan jarak jauh
enjoy Abang nya,5,1,5.45.1,2026-02-03 0:14:13,5.45.1,enjoy abang nya
cepat sekali,5,1,5.47.1,2026-02-03 0:11:58,5.47.1,cepat sekali
ok,5,1,5.47.1,2026-02-03 0:03:43,5.47.1,ok
Susah cencel pesenan,3,0,,2026-02-02 23:50:40,,susah cencel pesenan
"gojek yang mendapat orderan adalah pasti gojek yang keadaanya jauh ,dan bisa bikin terlambat selain itu pas sudah ditunggu malah di cancel sama gojeknya sendiri😢",2,0,5.47.1,2026-02-02 23:50:09,5.47.1,gojek yang mendapat orderan adalah pasti gojek yang keadaanya jauh dan bisa bikin terlambat selain itu pas sudah ditunggu malah di cancel sama gojeknya sendiri
bagus sekali,5,1,5.47.1,2026-02-02 23:43:21,5.47.1,bagus sekali
"Kenapa tiap order, dapetnya driver yang jauh dari radius titik jemput terus? Gimana sih ini sistemnya, agak lain.",3,0,5.48.2,2026-02-02 23:42:49,5.48.2,kenapa tiap order dapetnya driver yang jauh dari radius titik jemput terus gimana sih ini sistemnya agak lain
"Gojek tolong dobenerin dong ini. Kenapa sekarang dapatnya jauh2, dan giliran sudah dapat drivenya nggak langsung jalan jadi waktu nunggunya malah makin lama",4,1,5.48.2,2026-02-02 23:42:16,5.48.2,gojek tolong dobenerin dong ini kenapa sekarang dapatnya jauh2 dan giliran sudah dapat drivenya nggak langsung jalan jadi waktu nunggunya malah makin lama
mantab,5,1,,2026-02-02 23:42:03,,mantab
"makin lama makin gak jelas,harga tiap menit berubah trus, aplikasi gak jelas",1,0,5.47.1,2026-02-02 23:19:06,5.47.1,makin lama makin gak jelas harga tiap menit berubah trus aplikasi gak jelas
"maaf bintang 1 dulu, sekarang cari drivernya lama bgt, driver disekitar padahal banyak tapi slalu dapet yang jauh, terkadang driver tidak langsung berangkat",1,0,5.48.2,2026-02-02 23:10:59,5.48.2,maaf bintang 1 dulu sekarang cari drivernya lama bgt driver disekitar padahal banyak tapi slalu dapet yang jauh terkadang driver tidak langsung berangkat
"udah coba mode pencarian cepat malah dapetnya yang paling jauh lagi, coba yang mahal malah makin jauh",2,0,,2026-02-02 23:05:54,,udah coba mode pencarian cepat malah dapetnya yang paling jauh lagi coba yang mahal malah makin jauh
"harga pemesanan selalu berubah-ubah naik turun, mencari gojek hemat sangat lama.",1,0,5.47.1,2026-02-02 23:05:47,5.47.1,harga pemesanan selalu berubah ubah naik turun mencari gojek hemat sangat lama
sangat mudah,5,1,5.47.1,2026-02-02 23:00:18,5.47.1,sangat mudah
sangat membantu..,5,1,5.47.1,2026-02-02 22:48:11,5.47.1,sangat membantu
susah bgt dpt gojek pas hujan,1,0,5.47.1,2026-02-02 22:37:56,5.47.1,susah bgt dpt gojek pas hujan
memuaskan,5,1,5.47.1,2026-02-02 22:36:25,5.47.1,memuaskan
dikasih driver yang jauh dari penjemputan,1,0,5.48.2,2026-02-02 22:32:25,5.48.2,dikasih driver yang jauh dari penjemputan
aplikasi goput ongkir nya kayak baxxi terlalu nyekelk.tolong pihak playstor ini di tertib kan,1,0,5.48.2,2026-02-02 19:34:42,5.48.2,aplikasi goput ongkir nya kayak baxxi terlalu nyekelk tolong pihak playstor ini di tertib kan
bagus,5,1,5.47.1,2026-02-02 18:44:10,5.47.1,bagus
kok ga bisa login? bisa di pake ga ni apk?,1,0,5.47.1,2026-02-02 17:41:51,5.47.1,kok ga bisa login bisa di pake ga ni apk
untuk titik lokasi tolong di benerin kurang pas jadi kadang salah paham sama draver ny thanks,5,1,5.47.1,2026-02-02 17:14:26,5.47.1,untuk titik lokasi tolong di benerin kurang pas jadi kadang salah paham sama draver ny thanks
susah bnget dapet driver yang mau jmput ketitik,1,0,5.40.1,2026-02-02 16:33:27,5.40.1,susah bnget dapet driver yang mau jmput ketitik
", 👍",5,1,5.47.1,2026-02-02 16:31:05,5.47.1,
ok,5,1,5.44.1,2026-02-02 16:05:33,5.44.1,ok
happy n feel safety,5,1,5.47.1,2026-02-02 15:58:08,5.47.1,happy n feel safety
kelamaan,1,0,5.47.1,2026-02-02 15:42:46,5.47.1,kelamaan
mantap,5,1,,2026-02-02 15:34:21,,mantap
apk anak bangsa semoga tetap baik dan berjaya,5,1,5.46.2,2026-02-02 15:31:50,5.46.2,apk anak bangsa semoga tetap baik dan berjaya
good,5,1,5.45.1,2026-02-02 15:19:45,5.45.1,good
