slang,normalisasi
100rb,100 ribu
10rb,10 ribu
10ribu,10 ribu
130rb,130 ribu
15mnt,15 menit
15rb,15 ribu
17rb,17 ribu
1bulan,1 bulan
1hari,1 hari
1jam,1 jam
1km,1 km
1thnan,1 tahunan
1x,1 kali
200jt,200 juta
200k,200 ribu
200rb,200 ribu
206ribu,206 ribu
20k,20 ribu
20kali,20 kali
20rb,20 ribu
20rban,20 ribuan
20ribu,20 ribu
21menit,21 menit
21rb,21 ribu
29rb,29 ribu
2bulan,2 bulan
2hari,2 hari
2harii,2 hari
2jam,2 jam
2kali,2 kali
2km,2 km
2ribu,2 ribu
2x,2 kali
30detik,30 detik
30k,30 ribu
30mnit,30 menit
30mnt,30 menit
30rb,30 ribu
30rban,30 ribuan
30ribu,30 ribu
35 menitan,35 menitan
36rb,36 ribu
38rb,38 ribu
3bln,3 bulan
3k,3000
3km,3 km
3menit,3 menit
3tahun,3 tahun
400rb,400 ribu
40menit,40 menit
40rb,40 ribu
40rban,40 ribuan
4km,4 km
4x,4 kali
50k,50000
50menit,50 menit
50rb,50 ribu
50ribu,50 ribu
52rb,52 ribu
55rb,55 ribu
55ribu,55 ribu
5km,5 km
5mnitlebihan,5 menit lebihan
5rb,5 ribu
5th,5 tahun
60menit,60 menit
65rb,65 ribu
7hati,7 hari
7x,7 kali
8kali,8 kali
90menit,90 menit
9rb,9 ribu
aabar,sabar
aammiin,aamiin
aaps,aplikasi
abang2,abang-abang
abg,abang
abiss,abis
abisss,abis
abng,abang
ad,ada
adaa,ada
adaaa,ada
adillll,adil
ae,aja
aer,air
aering,sering
aflikasi,aplikasi
after,setelah
aga,agak
agak2,agak-agak
aggak,agak
aggro,argo
agk,agak
ahhh,ah
ahirnya,akhirnya
aj,aja
ajaa,aja
ajah,aja
ajg,anjing
ajh,aja
ajha,aja
ajj,aja
ajses,akses
ak,aku
akaaaallll,akal
akal2an,akal-akalan
akhir2,akhir-akhir
akhornya,akhirnya
akn,akan
aktifitas,aktivitas
aktiv,aktif
akun2,akun-akun
akunt,akun
alamatny,alamatnya
alamt,alamat
alamtnya,alamatnya
alhamsulillah,alhamdulillah
alhmdulillah,alhamdulillah
alpication,aplikasi
ama,sama
amah,amanah
aman2,aman-aman
amanh,amanah
ambil2,ambil-ambil
ambill,ambil
ampe,sampai
ampek,sampai
ampenyaaaaa,sampainya
ampunnnnnn,ampun
amt,amat
anaeh,aneh
anag,abang
anaka,anak
aneh2,aneh-aneh
anehh,aneh
anehhh,aneh
anehhhh,aneh
anehya,anehnya
anj,anijing
anjeeenkk,anjing
anjenk,anjing
anjg,anjing
ank,anak
anterr,anter
antr,antar
aorang,orang
ap,apa
apa2,apa-apa
apaa,apa-apa
apaaan,apaan
apaaan2,apa-apaan
apaanya,apanya
apagi,apalagi
apalag,apalagi
apalahhh,apalah
apdute,update
aph,apa
apk,aplikasi
apkna,aplikasinya
apkny,aplikasinya
apl,aplikasi
aplasi,aplikasi
aplgi,apalagi
aplicator,aplikator
aplikadi,aplikasi
aplikas,aplikasi
aplikasi2,aplikasi-aplikasi
aplikasih,aplikasi
aplikasii,aplikasi
aplikasiii,aplikasi
aplikasinhaaa,aplikasinya
aplikasinu,aplikasinya
aplikasiny,aplikasinya
aplikaso,aplikasi
aplikasu,aplikasi
aplikatator,aplikator
aplikis,aplikasi
aplilasi,aplikasi
aplimasi,aplikasi
aplk,aplikasi
aplkasi,aplikasi
aplksinya,aplikasinya
apls,aplikasi
aplukasinya,aplikasinya
app,aplikasi
applikas,aplikasi
applikasi,aplikasi
apps,aplikasi
appssss,aplikasi
aps,aplikasi
aq,aku
aqoe,aku
asal2,asal-asal
asal2an,asal-asalan
ashopepod,shopee food
asik2,asik-asik
asyiik,asik
asyik,asik
asyikkk,asik
ataw,atau
atitutd,attitude
atmin,admin
ats,atas
atw,atau
auhannn,asuhan
awal2,awal-awal
awsome,awesome
ayolaahh,ayolah
b1,bintang 1
baagus,bagus
baek,baik
baek2,baik-baik
baget,banget
bagoooosssss,bagus
baguss,bagus
bagusss,bagus
bagusssd,bagus
bagussss,bagus
baguuuus,bagus
baik2,baik-baik
baikinnnnnnnnnnn,baikin
baikk,baik
baikkkk,baik
balas2,balas-balas
balek,balik
bangat,banget
banged,banget
bangeeeeeeetttt,banget
bangeeet,banget
bangeettttt,banget
banger,banget
bangett,banget
bangettt,banget
bangetttt,banget
bangettttt,banget
bangetttttt,banget
bangettttttt,banget
bangetttttttt,banget
bangettttttttttt,banget
bangeut,banget
bangget,banget
banggggget,banget
bangt,banget
bangus,bagus
banhet,banget
banjir2,banjir-banjir
bantuan2,bantuan-bantuan
banyaaak,banyak
banyak2,banyak-banyak
banyak2in,banyak-banyakin
banyakk,banyak
banyao,banyak
bapak2,bapak-bapak
barangdan,barang dan
batakal,batalkan
batalinn,batalin
batelin,batalin
bauk,bau
bawa2,bawa-bawa
baxxi,babi
bayak,banyak
bayarr,bayar
bbrapa,beberapa
bbrp,beberapa
bbrpa,bebbrapa
bbyak,banyak
bda,beda
beda2,beda-beda
bedaaaaaa,beda
bedulll,betul
beeeeeest,best
beeeesstt,best
beei,beri
beginiiii,begini
begoo,bego
belakng,belakang
belit2,belit-belit
benar2,benar-benar
bene,benar
bener2,benar-benar
benerrrrrrr,benar
benerrrrrrrrrr,bener
benr,bener
bentar2,bentar-bentar
berabad2,berabad-abad
berangkt,berangkat
beratt,berat
bergunaaa,berguna
berhari2,berhari-hari
berih2,bersih-bersih
berjam2,berjam-jam
berkali2,berkali-kali
berlangann,berlangganan
bermanfaatt,bermanfaat
bermanpaat,bermanfaat
berminggu2,berminggu-minggu
berngkat,berangkat
berpa,berapa
bertahun2,bertahun-tahun
bertele2,bertele-tele
bertransfortasi,bertransportasi
bestt,best
bet,banget
betul2,betul-betul
bgd,banget
bget,banget
bgimana,bagaimana
bgini,begini
bgitu,begitu
bgni,begini
bgs,bagus
bgt,banget
bgtt,banget
bgttt,banget
bgtttt,banget
bgttttt,banget
bgtu,begitu
bgud,bagus
bgus,bagus
bgusin,bagusin
bguss,bagus
bgusss,bagus
bgussss,bagus
bgwd,banget
bhkan,bahkan
biasany,biasanya
bigung,bingung
bikim,bikin
bil,ambil
binggung,bingung
bintak,bintang
bintng,bintang
bisa2,bisa-bisa
bkan,bukannya
bkerja,bekerja
bkin,bikin
bklan,bakalan
bkn,bukan
bknya,bukannya
blanja,belanja
blanjanya,belanjanya
blg,bilang
blik,balik
blm,belum
bln,bulan
bls,balas
blum,belum
bnar,benar
bner,bener
bner2,benar-benar
bnerin,benerin
bnget,banget
bngett,banget
bngettt,banget
bngt,banget
bngtt,banget
bnr,benar
bnr2,benar-benar
bntang,bintang
bny,banyak
bnyak,banyak
bnyk,banyak
bnykkk,banyak
bodh,bodoh
boro2,boro-boro
bosss,bos
bpk,bapak
br2,baru-baru
brapa,berapa
brengsek2x,brengsek-brengsek
brgkt,berangkat
brhasil,berhasil
brjam,berjam-jam
brmanfaat,bermanfaat
brmasalah,bermasalah
brp,berapa
brpa,berapa
brtahun2,bertahun-tahun
brtambah,bertmabah
bru,baru
brubah,berubah
bs,bisa
bs2,bisa-bisa
bsa,bisa
bsget,banget
bsik,baik
bskny,besoknya
bspindah,berpindah
bsrang,barang
btalin,batalin
btalinn,batalin
bth,butuh
buagusss,bagus
buang2,buang-buang
buangeetttt,banget
buanget,banget
bukam,bukan
bulann,bulanan
bulannnn,bulanan
burikkk,burik
burruuuuukkkkk,buruk
buru2,buru-buru
burukk,buruk
burukkkk,buruk
buruuk,buruk
buruuuuk,buruk
buseeng,buset
busett,buset
busettt,buset
busukkk,busuk
butihkan,butuhkan
butu,butuh
butuhh,butuh
bwa,bawa
byarnya,bayarnya
byee,bye
byeee,bye
byeeee,bye
byk,banyak
bykin,banyakin
byr,bayar
calon2,calon-calon
cancelny,cancelnya
cancle,cancel
cansel,cancel
capek2,capek-capek
carii,cari
carr,car
castamer,customer
castemer,customer
caustamer,customer
cb,coba
ccel,cancel
ccl,cancel
cek2,cek-cek
ceki2,ceki-ceki
cencel,cancel
censel,cancel
centre,center
ceoat,cepat
cepa,cepat
cepat2,cepat-cepat
cepattt,cepat-cepat
cepeet,cepat
cepet2,cepat-cepat
chatt,chat
cht,chat
chuan,cuan
ciba,coba
ckp,cukup
ckup,cukup
cm,cuma
cma,cuma
cmn,cuman
cntoh,contoh
coab,coba
coba2,coba-coba
cobaaa,coba
complin,complaint
costmer,customer
costumer,customer
costumers,customer
cpt,cepat
cri,cari
crito,cerita
cs,customer service
csnnya,customernya
csnya,customer servicenya
cst,customer
cstm,customer
cstmer,customer
cth,contoh
cuana,cuaca
cuatumer,customer
cuma2,cuma-cuma
cumaaa,cuma
curiii,curi
cus,customer
cust,customer
custamer,customer
custemer,customer
custemernya,customernya
custmer,customer
customer2,customer-customer
custumer,customer
cuyyy,cuy
d,di
da,dan
dacc,di acc
dafakan,dadakan
dahhh,dah
dahhhh,dah
dajallll,dajal
dannn,dan
dapat2,dapat-dapat
daperr,dapet
dapet,dapat
dapet2,dapat-dapat
daptr,dapat
dapwt,dapat
dasarrrrrrrr,dasar
data2,data-data
datang2,datang-datang
dateng2,datang-datang
datng2,datang-datang
dbandingkan,dibandingkan
dblokir,diblokir
dbuka,dibuka
ddriver,driver
dech,deh
dechhh,deh
dehh,deh
dehhh,deh
dehhhh,deh
deivernya,drivernya
dekat2,dekat-dekat
dekef,deket
deket2,dekat-dekat
denga,dengan
dengn,dengan
derama,drama
deriver,driver
dev,developer
devernya,drivernya
dg,dengan
dgan,dengan
dgn,dengan
dgr,dengar
dh,udah
diajukn,diajukan
diakonnya,diskonnya
diantark,diantar
diat,dia
dibalas2,dibalas-balas
dibales2,dibales-bales
dibatalim,dibatalin
dibeda2in,dibeda-bedain
dibentark2,dibentak-bentak
dibiar2in,dibiar-biarin
dibls,dibales
dibuat2,dibuat-buat
dicamcel,dicancel
dicansel,dicancel
dicencel,dicancel
dichatt,dichat
didonlot,didownload
dieum,diem
difrank,diprank
diinstal,diinstall
dijakarta,di jakarta
dijkrta,di jakarta
dijlan,di jalan
dikalaa,dikala
dikasi,dikasih
dikitlh,dikit lah
dikitt,dikit
diksh,dikasih
dikshnya,dikasihnya
diksih,dikasih
dilama2in,dilama-lamain
dimaki2,dimaku-maki
dimana2,dimana-mana
dimna,di mana
dinemput,dijemput
dipikir2,dipikir-pikir
dipsn,dipesan
diriver,driver
dirmh,di rumah
dirver,driver
disc,diskon
discon,diskon
discoun,discount
discounan,diskonan
disinih,di sini
diskonny,diskonnya
diskonnyaa,diskonnya
disruh,disuruh
ditelp,ditelepon
ditgguin,ditungguin
ditingkatkam,ditingkatkan
ditrik,ditarik
diujung2,diujung-ujung
dkasih,dikasih
dkat,dekat
dket2,deket-deket
dkit,dikit
dksh,dikasih
dkt,dekat
dl,dulu
dlm,dalam
dlu,dulu
dluu,dulu
dmn,di mana
dmnpun,dimanapun
dn,dan
dngn,dengan
do,di
dobenerin,dibenerin
doble,double
dolo,dulu
dolot,download
dongg,dong
donggg,dong
donkk,dong
donload,download
donlod,download
donlot,download
doqng,daong
dpake,dipake
dpat,dapat
dperbaiki,diperbaiki
dpet,dapat
dpet2,dapet-dapet
dpn,depan
dpt,dapat
dpt2,dapet-dapet
dptny,dapatnya
dptnya,dapatnya
dr,dari
draevernya,draevernya
draifer,driver
draifermya,drivenya
draiver,driver
draivernya,drivernya
draver,driver
dravernya,drivernya
dravir,driver
drefer,driver
dreferny,drivernya
dreiver,driver
drever,driver
drevernya,drivernya
dri,dari
driber,driver
driernya,drivernya
drifer,driver
driiver,driver
dripr,driver
driv,driver
driveenya,drivernya
driver2,driver-driver
driver2nya,driver-drivernya
driverna,drivernya
drivernua,drivernya
driverny,drivernya
drivernyaa,drivernya
drivernyaaa,drivernya
driverr,driver
driverrr,driver
driverrrrrr,driver
driverw,driver
drivet,driver
drpd,daripada
drver,driver
drvwrnya,drivernya
dsri,dari
dtangguhkan,ditangguhkan
dtangnya,datangnya
dtemukan,ditemukan
dtg,datang
dtg2,datang-datang
dtng,datang
dtngny,datangnya
dtngnya,datangnya
duid,duit
duit2,duit-duit
duluuuu,dulu
dwld,download
dwload,download
dwonload,download
dy,dia
eaya,saya
eazy,easy
eberapa,beberapa
eeeh,eh
eeehh,eh
eehhh,eh
egk,nggak
ekpres,express
ekspress,express
ellor,error
emg,emang
emng,emang
emnunggu,menunggu
enaaak,enak
enak2,enak-enak
endak,nggak
endignya,endingnya
engak,nggak
enggab,enggan
enggapapa,ngga apa-apa
enggk,nggak
enk,enak
evesions,efisien
exprees,express
expres,express
expressssss,express
face,muka
faham,paham
fan,dan
ferfeck,perfect
fhoto,photo
fi,diskon
fikir,pikir
frevernya,drivernya
g,gak
ga,gak
gaa,gak
gaada,gak ada
gaadtg,dak datang
gabisaaa,gak bisa
gabiss,gak bisa
gacor,gocar
gacorr,gacor
gad,gak
gada,gak ada
gadaaaaaa,gak ada
gadak,gak ada
gadapet,gak dapat
gadapet2,gak dapat-dapat
gaeeessss,guys
gag,gak
gagal2,gagal-gagal
gajelas,gak jelas
gajelass,gak jelas
gajelasss,gak jelas
gajelassssss,gak jelas
gajelasssssss,gajelas
gajih,gaji
gamao,gamau
gamau,gak mau
gandozzz,gandos
gangejamin,gak menjamin
gapake,gak pakai
gara2,gara-gara
gatal2,gatal-gatal
gausa,gausah
gax,gak
gbisa,gak bisa
gblk,goblok
gblok,goblok
gbs,gak bisa
gbsa,gak bisa
gd,gak ada
gda,gak ada
gdapat,gak dapat
gebrak2,gebrak-gebrak
gedorrrrr,gedor
gembell,gembel
gerecep,gercep
geser2,geser-geser
gfood,gofood
gg,gang
ggl,gagal
gijek,gojek
gila2nya,gila-gilanya
gilaa,gila
gilaaa,gila
gilaaaa,gila
gilak,gila
gilakk,gila
gimna,gimana
gitu2,gitu-gitu
gituu,gitu-gitu
gjelas,gak jelas
gjlas,gak jelas
gjls,gajelas
gk,gak
gk2,gak-gak
gka,gak
gkada,gak ada
gmana,gimana
gmau,gak mau
gmn,gimana
gmna,gimana
gmpg,gampang
gmw,gak mau
gni,gini
gnti,ganti
go ride,goride
gocarr,gocar
gocat,gocar
gocengg,goceng
god,good
goddddd,good
godjob,goodjob
gofiod,gofood
gofod,gofood
gofud,go food
gofuud,gofood
gojeg,gojek
gojekgaadajalan,gojek gak ada jalan
gojekk,gojek
gojekkk,gojek
gojekkkk,gojek
gojekndi,gojek di
gojekx,gojeknya
gojel,gojek
gojeq,gojek
gojg,gojek
gojwk,gojek
gokar,gocar
gokarnya,gocar nya
gokill,gokil
gokilll,gokil
golek,gojek
goodd,good
goodjob,good job
goofod,gofood
gooodd,good
gooodddd,good
gooood,good
goooodddddd,good
gooooood,good
gopaylatter,gopaylater
gopayy,gopay
gopod,gofood
gopood,go food
goppy,gopay
gopud,gofood
gored,goride
gorid,goride
gpp,gapapa
gr,gara
gra,gara
grap,grab
grepcar,grabcar
grgr,gara-gara
gt,gitu
gtau,gak tau
gtu,gitu
gud,good
gueh,gua
guns,guna
guud,good
gw,gua
gx,gak
habis2an,habis-habisan
habisssss,habis
habistu,habis itu
hadeehh,haduh
hadeh,haduh
hadehh,hadeh
hadehhh,haduh
hadehhhhh,hadeh
hadehhhhhhh,haduh
hadeuhh,haduh
hadeuhhhhh,haduh
haduhh,haduh
haega,harga
haeus,harus
hal2,hal-hal
hampr,hampir
hamya,hanya
hapua,hapus
hapuuuss,hapus
harga2,harga-harga
hargo,argo
haruss,harus
hati2,hati-hati
hbis,habis
hbs,habis
hdeh,haduh
hebattt,hebat
heduh,haduh
hekker,hacker
hemt,hemat
herann,heran
heuhh,haduh
hhe,hehehe
hilng,hilang
hinga,hingga
hlngkan,hilangkan
hnya,hanya
hoaxxxxxxx,hoax
hpir,hampir
hpus,hapus
hr,hari
hrg,harga
hri,hari
hrs,harus
hrus,harus
hrusnya,harusnya
hujaaan,hujan
hujan2,hujan-hujan
hujann,hujan
hususnya,khususnya
hya,hanya
ihh,ih
iklann,iklan
ikut2an,ikut-ikutan
ilang2an,ilang-ilangan
iming2,iming-iming
improv3,improve
inklannya,iklannya
instal,install
